epoch,acc,loss
9,0.6259331405712644,29853.779296875
19,0.6852189991283684,17229.58203125
29,0.7052028136213107,13954.6767578125
39,0.7170355850708353,12432.208984375
49,0.7274269336416803,11249.8076171875
59,0.737878831010564,10403.4052734375
69,0.7525302845657951,9692.064453125
79,0.7617052348954472,9098.7314453125
89,0.7664470191239312,8625.1220703125
99,0.7684121439199744,8311.365234375
109,0.7716537638985473,8067.58251953125
119,0.7737074526081394,7752.2880859375
129,0.7758903723344408,7500.33447265625
139,0.7757290594919052,7260.873046875
149,0.7767796263235448,7077.58740234375
159,0.727228116692897,8433.0830078125
169,0.7660719780614534,9112.4677734375
179,0.7749731032298265,8414.90625
189,0.7775003377628846,7787.1181640625
199,0.7770593256219469,7422.0224609375
