epoch,acc,loss
9,0.6256258780140537,29574.845703125
19,0.6856595594126044,17389.669921875
29,0.7039809930996963,14092.5634765625
39,0.7147898572629865,12520.8828125
49,0.7316892979095754,11411.4599609375
59,0.7456561885616091,10538.404296875
69,0.7566864625087717,9926.4638671875
79,0.7616740567830242,9378.833984375
89,0.7656422623380602,8946.2392578125
99,0.7683036983115471,8559.5361328125
109,0.7708630146704315,8277.294921875
119,0.772257444452126,7997.97802734375
129,0.7743920155113369,7785.85498046875
139,0.7736017181399228,7599.58203125
149,0.7746391811272108,7465.03857421875
159,0.7756237768803904,7311.5908203125
169,0.7725922702681454,7215.32666015625
179,0.7763295770485714,7103.1708984375
189,0.7758926316179497,6966.76611328125
199,0.7777750666375671,6891.697265625
