epoch,acc,loss
9,0.5683995823036648,39831.48828125
19,0.6471536868569797,22562.21484375
29,0.6895473344747234,16040.2119140625
39,0.7087661555715513,13426.73046875
49,0.7195754715915432,11762.798828125
59,0.7307444655461525,10904.302734375
69,0.738284146472061,10087.248046875
79,0.7481242298667339,9661.9453125
89,0.7570895186867598,9148.3515625
99,0.7655600244183361,8670.1259765625
109,0.7731869136876884,8291.6083984375
119,0.7767109441048742,7955.8076171875
129,0.7803456794139961,7778.30078125
139,0.782566555103247,7576.31396484375
149,0.7829858781224992,7426.99853515625
159,0.7835317210182501,7190.75634765625
169,0.7834540016655438,7084.88330078125
179,0.7840902159016506,7001.80419921875
189,0.7851629237116775,6855.404296875
199,0.7863400104198155,6717.35888671875
209,0.7872026048635145,6644.11669921875
219,0.7879947096617356,6722.50830078125
229,0.7899363379092862,6723.57421875
239,0.794585943370607,6459.22265625
249,0.7873725029833839,6455.0146484375
259,0.7865564497799684,6293.9052734375
269,0.787532912112516,6197.94091796875
279,0.7817572797503582,6232.60400390625
289,0.7886788207082311,6236.6455078125
299,0.7876146981755382,6116.89404296875
309,0.7856134248433526,6116.8486328125
319,0.7880868884288987,6050.72119140625
329,0.7869247129919195,5941.5048828125
339,0.7838172944537752,5918.8662109375
349,0.7855573946123318,5957.62646484375
359,0.786728155326645,5927.5166015625
369,0.7873584954256286,5863.8896484375
379,0.7879106643152044,5800.515625
389,0.7859057761294045,5743.21728515625
399,0.7850020627258436,5643.90771484375
409,0.7857964268075737,5786.892578125
419,0.7848628908616953,5733.8349609375
429,0.7859821399120054,5693.1484375
439,0.7870159880456791,5693.666015625
449,0.7868976015898126,5590.90380859375
459,0.7834793056408436,5563.52294921875
469,0.7839899037138555,5477.5234375
479,0.7839921629973643,5612.228515625
489,0.7848949726875216,5536.66357421875
499,0.7856595142269341,5629.54638671875
