epoch,acc,loss
9,0.6013616249851452,43064.44140625
19,0.6665374356499575,25940.115234375
29,0.68713803454083,21403.07421875
39,0.7035928481928669,18758.271484375
49,0.7115324222998513,16793.560546875
59,0.7174512932364733,15251.494140625
69,0.7223182417713506,14240.1318359375
79,0.7269158837119667,13424.341796875
89,0.7310042831496761,12912.3798828125
99,0.7290242470824743,12346.42578125
109,0.7273627699900275,11911.2353515625
119,0.7335780589230176,11596.2197265625
129,0.7299275086293333,11296.029296875
139,0.7329034368672595,11069.0849609375
149,0.7318542256057252,10832.1787109375
159,0.7248490911580229,10586.3203125
169,0.7322057701197104,10463.24609375
179,0.7348152425724925,10440.1962890625
189,0.7323892239406332,10104.923828125
199,0.7331370467820799,9940.39453125
209,0.7289582760040143,9954.8525390625
219,0.735205194906129,9885.7705078125
229,0.7355427318623591,9699.37890625
239,0.7309920830187281,9440.76171875
249,0.7344655054853144,9433.0810546875
259,0.733468257744485,9403.1015625
269,0.7306161382428468,9204.798828125
279,0.7332423293935948,9204.1513671875
289,0.7342992222190592,9100.5888671875
299,0.7319396265223617,9120.7783203125
309,0.7348753395138293,8988.7646484375
319,0.7334601243238529,8823.935546875
329,0.7321605844495324,8752.998046875
339,0.732599789163663,8870.466796875
349,0.7355233020241825,8836.5029296875
359,0.7351342534039494,8620.9814453125
369,0.7316838756291539,8573.267578125
379,0.7248884026910778,8445.9189453125
389,0.7295018596162561,8353.8291015625
399,0.7297951146157117,8363.1162109375
409,0.7328207470908336,8494.677734375
419,0.7354627532261439,8273.2705078125
429,0.7332233514121199,8294.6591796875
439,0.737197431104279,8286.2392578125
449,0.7296112089380871,8139.3525390625
459,0.7311547514313691,8088.91796875
469,0.733624600163301,8001.62109375
479,0.7319152262604656,7930.55517578125
489,0.7303450242217785,8153.80029296875
499,0.731922455967694,8040.7451171875
