epoch,acc,loss
9,0.5621101888715828,42451.44140625
19,0.6515927270952708,27026.513671875
29,0.6831368434465641,21453.939453125
39,0.7041712247711459,19433.126953125
49,0.7079966436084192,17830.8984375
59,0.7105351745590217,16549.318359375
69,0.7069397507829547,16004.8115234375
79,0.7081755788623242,14996.423828125
89,0.7109224157524476,14287.306640625
99,0.7142842296136942,13914.2412109375
109,0.7163460517439183,13068.83984375
119,0.7186075945363295,12809.5537109375
129,0.732180014287709,13368.5830078125
139,0.7348929619251987,13052.0068359375
149,0.730988016308412,12514.62890625
159,0.7196012274235447,13669.4228515625
169,0.7255304910643078,13461.1376953125
179,0.733435272205255,13742.7822265625
189,0.7261811647148716,13142.9228515625
199,0.7140266712936792,12715.244140625
209,0.7124894547942222,13109.23046875
219,0.7259367102392085,11818.794921875
229,0.7402921976547734,11866.337890625
239,0.7207701807110507,11447.9736328125
249,0.7228848700753833,11762.08984375
259,0.7019964384654765,12604.341796875
269,0.7125459368819448,11563.5673828125
279,0.7348043980116498,11793.86328125
289,0.7215677077896933,11843.962890625
299,0.714023056440065,11031.642578125
309,0.7431651025646935,10855.4482421875
319,0.7325559590635903,11048.0244140625
329,0.723128420837643,10729.9775390625
339,0.721545566811306,11109.48828125
349,0.7189758577482805,10682.1396484375
359,0.7170812225977151,10755.6171875
369,0.7152024024317121,11118.66796875
379,0.7384151849155773,11138.9482421875
389,0.7338265801089969,10287.662109375
399,0.7278164341186151,10784.6123046875
409,0.7249914260190837,10972.046875
419,0.706795156638385,10585.2421875
429,0.7273618662766239,10714.4169921875
439,0.7345368988441957,10261.0537109375
449,0.726521864668014,11018.3056640625
459,0.7168512275365089,10296.0185546875
469,0.721041294732119,10077.275390625
479,0.7291119072826197,10827.8779296875
489,0.7224669026262364,10477.4189453125
499,0.7189293165079972,10485.060546875
