epoch,acc,loss
9,0.5743333645114458,34714.296875
19,0.6575766653969494,19494.50390625
29,0.6934084499914374,15517.9794921875
39,0.7121876145174328,13470.044921875
49,0.7282538314059386,12046.66796875
59,0.7383876216567687,11172.4921875
69,0.7518384919553692,10406.0751953125
79,0.7575264641173816,9992.802734375
89,0.7629098848623939,9614.2158203125
99,0.7576791916825834,9212.4921875
109,0.7583230874826205,8895.6787109375
119,0.7626478079753611,8905.048828125
129,0.7594500180968609,9178.4892578125
139,0.7535325027303441,9573.1796875
149,0.7615556703271578,9201.4794921875
159,0.7722235551994925,8441.603515625
169,0.7772671797047659,8619.7255859375
179,0.7693818284019952,8013.529296875
189,0.7752021945776292,8625.728515625
199,0.7812512002443641,7917.8046875
