epoch,acc,loss
9,0.6011795267343277,32534.017578125
19,0.6714179398858882,19039.490234375
29,0.6994411888169081,14567.8388671875
39,0.7240258082473789,13503.8408203125
49,0.7283216099112056,12152.3623046875
59,0.7383496656938192,11248.908203125
69,0.7514512507619434,10297.17578125
79,0.7561437826099333,9801.890625
89,0.7635036245685334,9277.009765625
99,0.766978402605225,8890.892578125
109,0.767595638859857,8536.8076171875
119,0.7631480133442321,8416.8984375
129,0.764630103326072,8557.0234375
139,0.7631082499544755,8927.7255859375
149,0.76808364409778,8868.1962890625
159,0.777306039381119,8227.60546875
169,0.7768451455453029,8029.873046875
179,0.7785811789935434,7826.048828125
189,0.7692431083945486,8108.3818359375
199,0.7760656927347317,8245.2138671875
