epoch,acc,loss
9,0.6199731506747802,33533.5
19,0.6750946978682756,18896.609375
29,0.7017935548063772,14934.2802734375
39,0.7200318468603415,12757.7529296875
49,0.7314877698205813,11970.3056640625
59,0.7440154968774443,10971.435546875
69,0.7525958037875532,10360.4326171875
79,0.759213245185128,9904.33203125
89,0.7656738923071849,9415.1474609375
99,0.7663367660886967,8836.615234375
109,0.7720748943446067,8617.912109375
119,0.7726261595207788,8580.7294921875
129,0.7714703100776245,8105.3583984375
139,0.767861330600504,8030.03125
149,0.7698187738326169,7748.732421875
159,0.7758352458168236,7715.6123046875
169,0.7751393864960817,7717.21484375
179,0.7759016687519853,7731.9326171875
189,0.776264509683515,7351.41943359375
199,0.7778934530934336,7710.4208984375
