epoch,acc,loss
9,0.5792933955268897,36430.33984375
19,0.6582124277763545,22425.5390625
29,0.70035529492461,15293.2548828125
39,0.7128098211957845,13247.0546875
49,0.7234799653516281,11735.818359375
59,0.7357627860761261,10822.080078125
69,0.7414588916587704,9926.943359375
79,0.7506605015338276,9471.7197265625
89,0.7572124237096441,9042.8408203125
99,0.7701712220600057,8578.7841796875
109,0.7710134829521245,8391.4873046875
119,0.7694179769381376,8075.9248046875
129,0.773300781576537,8316.6376953125
139,0.7581111666894854,8077.0595703125
149,0.7714535913796586,8148.80126953125
159,0.7680849996678853,8110.28955078125
169,0.7679340795294907,7974.83154296875
179,0.7749541252483517,7741.22705078125
189,0.785452112000817,7724.57666015625
199,0.7843455149381566,7482.8505859375
209,0.7765518905458474,7300.048828125
219,0.7778460081397466,7384.35693359375
229,0.7834296014036477,6968.1630859375
239,0.7837657827897723,6946.455078125
249,0.7827707943324518,6982.6953125
259,0.780716201909456,6804.89453125
269,0.7828313431304903,6802.60107421875
279,0.7843554557855958,6789.50830078125
289,0.7760751817254691,7251.6357421875
299,0.7885089225883617,6958.71337890625
309,0.7882346455703809,6827.20751953125
319,0.7908472810200755,6693.6220703125
329,0.7800971582280168,6506.9716796875
339,0.7806908979341564,6631.689453125
349,0.7795332410641949,6750.62451171875
359,0.7929479628266528,6505.06396484375
369,0.7954724862195003,6570.76123046875
379,0.7884036399768468,6233.15625
389,0.7887226508083038,6214.72412109375
399,0.7904704325307906,6082.75439453125
409,0.7783534432158461,6332.15234375
419,0.7824838653268211,6351.1484375
429,0.7923370525658456,6628.5478515625
439,0.7861253784864698,6639.11328125
449,0.7786512167823194,7054.36474609375
459,0.7814482097663403,6917.4140625
469,0.7738253872073042,6408.14404296875
479,0.7747607305799897,6131.51025390625
489,0.7789160048095627,6340.8623046875
499,0.7847684528110231,6216.1259765625
