,dataset,model,epoch,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,yelp,"['graphsage', 4, 512]",2000,0,0.25950479483544675,0.1552429751345986,0.022986487338417454,0.0812753323624307,0.6522330024952169,4235.45263671875
0,yelp,"['gcn', 4, 512]",2000,0,0.21733651890193012,0.133702722468173,0.016741836041137388,0.06689196039261974,0.4813195730188119,3751.87744140625
0,yelp,"['gat', 4, 512]",500,0,0.5122558434804281,0.3898389782568421,0.028919551830099085,0.09349731339348688,0.35922888375753664,7113.8115234375
