,dataset,model,epoch,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,amazon,"['graphsage', 3, 512]",2000,0,1.2392,1.0617,0.0966,0.051519005400196355,0.8106,7472.55
0,amazon,"['gcn', 3, 512]",2000,0,1.1287263065950015,0.928612380398246,0.1145276793859955,0.08558624681075999,0.5065090273520073,6309.94580078125
OOM0,amazon,"['gat', 3, 128]",1000,0,0.9342520023710165,0.6781238146163711,0.16274733375664333,0.09338085399800208,0.33302636342273567,4415.4228515625
