epoch,acc,loss
9,0.5488391575402909,49571.76171875
19,0.6286338880778061,25551.5078125
29,0.6764443938364938,18471.541015625
39,0.6969790216489065,14511.712890625
49,0.7119196634932771,12949.900390625
59,0.7217132056476665,11877.7392578125
69,0.7299171159251924,11075.8603515625
79,0.7375833167275996,10394.841796875
89,0.744308300020198,10034.9599609375
99,0.7524010535490858,9532.158203125
109,0.7578567713663831,9282.0380859375
119,0.7650177963761996,8943.6123046875
129,0.7674849339679208,8844.7373046875
139,0.7701888444713751,8514.7607421875
149,0.7698386555274953,8499.7041015625
159,0.7744566310196914,8227.212890625
169,0.7750341038845668,8022.19873046875
179,0.777995572708036,7879.638671875
189,0.7804581917327394,7737.4951171875
199,0.7865677461975129,7791.3359375
209,0.7842641807318361,7796.73291015625
219,0.7843423519412441,7603.044921875
229,0.7905508630237076,7750.81689453125
239,0.7960752630596754,7793.068359375
249,0.7939343660066396,7354.03955078125
259,0.7942633176855357,7270.18603515625
269,0.7950138516671931,7270.087890625
279,0.7910393201183322,7200.072265625
289,0.7909850973141186,7102.44384765625
299,0.7868835940320574,7169.73681640625
309,0.7908350808891275,7072.7822265625
319,0.7858230863529787,7021.5439453125
329,0.7910018160120844,7176.25341796875
339,0.7907939619292654,7023.8857421875
349,0.7866490804038334,6775.1826171875
359,0.7910845057885103,6833.95458984375
369,0.7963590290683935,6883.50390625
379,0.7986490388330169,6821.14453125
389,0.7989183454272779,6576.40673828125
399,0.7930419490206232,6930.4580078125
409,0.7950414149260017,6735.55908203125
419,0.7937165710763814,6720.09765625
429,0.7999612306949873,6754.58544921875
439,0.7970368141210642,6824.90625
449,0.7964597931128905,6725.48193359375
459,0.7911111653339153,6667.9169921875
469,0.7926931156468486,6571.81201171875
479,0.7967882929350849,6401.1064453125
489,0.7969947914477986,6508.541015625
499,0.7950328296486678,6507.81201171875
