,dataset,model,epoch,datatype,pipeline,fixed synchro,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,amazon,"['graphsage', 4, 512]",150,fp32,False,NA,0,1.8024593309591745,1.4263509830445733,0.2026168699482925,0.17349147796630873,0.3388084930042858,10086.984375
0,amazon,"['graphsage', 4, 512]",150,fp32,True,NA,0,1.6403599167598113,0.5902891614054906,0.8785945313577433,0.17147622399657736,0.3658165908205508,11056.984375
0,amazon,"['graphsage', 4, 512]",150,int1,False,NA,0,0.615130238860618,0.4288983053833474,0.027299782702031025,0.1589321507752396,0.3327925059695096,9923.8076171875
0,amazon,"['graphsage', 4, 512]",150,int1,True,NA,0,0.5424211789633482,0.05447852702541206,0.319908062010321,0.1680345899276151,0.33706632396588726,10892.62255859375
0,amazon,"['gcn', 4, 512]",150,fp32,False,NA,0,1.6938750343468354,1.3696366812436636,0.1731755242092919,0.15106282889387995,0.21640544677208506,8795.86669921875
0,amazon,"['gcn', 4, 512]",150,fp32,True,NA,0,1.61018522641131,0.5761585526793968,0.859143289900918,0.17488338383099522,0.19754312942594546,10361.86669921875
0,amazon,"['gcn', 4, 512]",150,int1,False,NA,0,0.6554745736012932,0.4845609664916992,0.02699212809555403,0.14392147901403998,0.22400864627187259,8633.1376953125
0,amazon,"['gcn', 4, 512]",150,int1,True,NA,0,0.5978277057181788,0.0008306284897200024,0.4405525131079987,0.15644456412046004,0.20713442733505677,10183.00732421875
0,amazon,"['gat', 3, 128]",150,fp32,False,NA,0,1.0505201561760356,0.7872108557752071,0.17749264040066084,0.0858166600001676,0.1746380891488773,3789.7294921875
0,amazon,"['gat', 3, 128]",150,fp32,True,NA,0,0.7427712487810441,0.005799227998456882,0.6537097719789461,0.08326224880364108,0.2241614624260722,4247.353515625
0,amazon,"['gat', 3, 128]",150,int1,False,NA,0,0.7646738591084954,0.5210087099148117,0.1583220558312103,0.08534309336247334,0.19397993311036787,4114.650390625
0,amazon,"['gat', 3, 128]",150,int1,True,NA,0,0.7405139853936116,0.0008787690228178301,0.6493322412476284,0.09030297512316532,0.1731436693061975,4118.2451171875
