,dataset,model,epoch,datatype,pipeline,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,yelp,"['graphsage', 4, 512]",3000,fp32,False,0,0.38980252947934657,0.26079828254546894,0.022697054490844998,0.10630719244303263,0.6526052132129158,5138.634765625
0,yelp,"['graphsage', 4, 512]",3000,fp32,True,0,0.2745921875319778,0.1323583080966678,0.024248214786767253,0.11798566464854274,0.6521336866366966,5674.5546875
0,yelp,"['graphsage', 4, 512]",3000,fp16,False,0,0.32674731168265864,0.1925272680708492,0.020728698735421065,0.11349134487638839,0.6525473776689656,4950.89794921875
0,yelp,"['graphsage', 4, 512]",3000,fp16,True,0,0.16166641459266934,0.03090857026838761,0.020316127146033224,0.1104417171782485,0.6528208490337042,5806.02294921875
0,yelp,"['graphsage', 4, 512]",3000,int8,False,0,0.21879823041598945,0.08834258553182336,0.025209586857334442,0.10524605802683164,0.6531067067748246,4856.7578125
0,yelp,"['graphsage', 4, 512]",3000,int8,True,0,0.13048491262186881,0.001051550183876332,0.01517561139975528,0.1142577510382372,0.6529616273294607,5745.8603515625
0,yelp,"['graphsage', 4, 512]",3000,int4,False,0,0.16612927973801023,0.05133356335255088,0.012312042607044254,0.1024836737784151,0.6531244028575353,10526.0224609375
0,yelp,"['graphsage', 4, 512]",3000,int4,True,0,0.13246967291973466,0.003744630060139325,0.012892409938025545,0.11583263292156978,0.652533024791044,11094.49072265625
0,yelp,"['graphsage', 4, 512]",3000,int2,False,0,0.16915099680954343,0.03764921550580939,0.026118916467672285,0.10538286483606177,0.6522526977291505,10504.583984375
0,yelp,"['graphsage', 4, 512]",3000,int2,True,0,0.12665088717944545,0.0015889293892800984,0.01181013771617448,0.11325182007399087,0.6532175990684803,10967.71826171875
0,yelp,"['graphsage', 4, 512]",3000,int1,False,0,0.14759779462828482,0.027144053038928206,0.017009468832072588,0.10344427275728402,0.6529532938924182,10493.36474609375
0,yelp,"['graphsage', 4, 512]",3000,int1,True,0,0.1271812699138234,0.0006335999385539431,0.01420117521144516,0.11234649476382429,0.6529527036131589,10858.12841796875
0,yelp,"['gcn', 4, 512]",3000,fp32,False,0,0.45090502305978836,0.32783147082484443,0.02197876493018176,0.10109478730476217,0.48138357957269784,4426.20751953125
0,yelp,"['gcn', 4, 512]",3000,fp32,True,0,0.2739786523385996,0.13255586441971073,0.022510258840170386,0.11891252907871847,0.47903899701478847,5232.73681640625
0,yelp,"['gcn', 4, 512]",3000,fp16,False,0,0.3338302496809634,0.2001804444131936,0.024621267966063863,0.10902853730170595,0.48457155175103456,4238.37255859375
0,yelp,"['gcn', 4, 512]",3000,fp16,True,0,0.16144013351785677,0.03379321814644584,0.019495147537406898,0.10815176783400403,0.48827621095232077,5363.89013671875
0,yelp,"['gcn', 4, 512]",3000,int8,False,0,0.24056660394994017,0.11681584531900083,0.018889979102845008,0.10486077952809433,0.46817843635687273,4143.857421875
0,yelp,"['gcn', 4, 512]",3000,int8,True,0,0.13368063439954989,0.0012704053512312891,0.015169037113557583,0.11724119193476101,0.4593901599385886,5068.7783203125
0,yelp,"['gcn', 4, 512]",3000,int4,False,0,0.17637972184387796,0.06109444978329124,0.014588350092975605,0.10069692196761112,0.4801158037561742,9815.5478515625
0,yelp,"['gcn', 4, 512]",3000,int4,True,0,0.1370734121396209,0.003089701298082618,0.018040553398585107,0.11594315744295318,0.4786927488050799,10553.42919921875
0,yelp,"['gcn', 4, 512]",3000,int2,False,0,0.16285108458748204,0.047046075765739916,0.013682624883397042,0.1021223839383451,0.478521802262685,9793.916015625
0,yelp,"['gcn', 4, 512]",3000,int2,True,0,0.1341389332751492,0.0013454598913560636,0.0160207836847277,0.11677268969906543,0.47950619400745853,10327.1962890625
