,dataset,model,epoch,datatype,pipeline,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,amazon,"['graphsage', 4, 512]",2000,fp32,False,0,1.0408451727079124,0.7700550853542336,0.08610178513622496,0.18468830221745386,0.8131323816753993,10094.24169921875
0,amazon,"['graphsage', 4, 512]",2000,fp32,True,0,0.6965844474550345,0.1066474691531175,0.3932597465929316,0.19667723170898532,0.8134648518620354,11064.24169921875
0,amazon,"['graphsage', 4, 128]",2000,int1,False,0,0.20747707601644946,0.11217208521934288,0.01864445328977963,0.07666053750732696,0.7911507585550037,7531.94873046875
0,amazon,"['graphsage', 4, 128]",2000,int1,True,0,0.1814610696582327,0.0013237472100884452,0.09305582837697392,0.08708149407117034,0.790568567954269,7559.44873046875
0,amazon,"['gcn', 4, 128]",2000,fp32,False,0,0.37356478865268766,0.21328823178807452,0.06601651328178185,0.0942600435828313,0.536836180960388,3556.1240234375
0,amazon,"['gcn', 4, 128]",2000,fp32,True,0,0.26348494912574444,0.0012231354989559453,0.16133729015002007,0.10092452347676845,0.5362737215653115,3947.779296875
0,amazon,"['gcn', 4, 128]",2000,int1,False,0,0.2978614437288059,0.1517416574641697,0.061643132520943285,0.08447665374369293,0.5353211947981671,7044.697265625
0,amazon,"['gcn', 4, 128]",2000,int1,True,0,0.2773076465772361,0.000530316596041809,0.18390025686315015,0.09287707311804416,0.5314889961376478,7369.7216796875
0,amazon,"['gat', 3, 128]",1000,fp32,False,0,0.9296473935246468,0.6663945934602192,0.17311943428856985,0.09013336577585768,0.43873979432612187,3797.4169921875
0,amazon,"['gat', 3, 128]",1000,fp32,True,0,0.7516098919191531,0.0006797904414790017,0.6618951452629906,0.08903495621468338,0.4326921455906401,4283.041015625
0,amazon,"['gat', 3, 128]",1000,int1,False,0,0.7771647439471313,0.527695432305336,0.1625586287783725,0.08691068286342282,0.4246877464468687,7177.42529296875
0,amazon,"['gat', 3, 128]",1000,int1,True,0,0.7532804528517383,0.0007873587310314178,0.657187694683671,0.09530539943703586,0.42187008200708476,7181.02001953125
