,dataset,model,epoch,datatype,pipeline,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,amazon,"['gat', 3, 128]",1000,fp32,False,0,0.9418594046894994,0.6761657034179994,0.17367529815861157,0.09201840311288836,0.4380149468163207,3797.4169921875
0,amazon,"['gat', 3, 128]",1000,fp32,True,0,0.7525885685213974,0.0008201011057410922,0.661629858825888,0.09013860858976841,0.4337287426060218,4283.041015625
0,amazon,"['gat', 3, 128]",1000,int1,False,0,0.7770260191921677,0.524873416072556,0.16453800004507815,0.08761460307453359,0.4270420821490699,7177.42529296875
0,amazon,"['gat', 3, 128]",1000,int1,True,0,0.7539847509137222,0.0010289153350251062,0.6586813112454755,0.09427452433322159,0.41825723297616585,7181.02001953125

0,amazon,"['gat', 3, 128]",1000,fp32,False,0,0.940872001860823,0.6766687501221895,0.17236975952982903,0.09183349220880443,0.4441426636702676,3797.4169921875

0,amazon,"['gat', 3, 128]",1000,fp32,False,0,0.9275692898247924,0.6650397420993873,0.17128721917314188,0.09124232855226316,0.4283961092088118,3797.4169921875
0,amazon,"['gat', 3, 128]",1000,fp32,True,0,0.7526092292474849,0.0013568465198789323,0.6604992119329316,0.09075317079467438,0.4336579170988926,4264.50341796875
0,amazon,"['gat', 3, 128]",1000,int1,False,0,0.776644100302032,0.5264275358723742,0.16308714130095073,0.08712942312870706,0.42949298260597263,7177.42529296875
0,amazon,"['gat', 3, 128]",1000,int1,True,0,0.7533463130572012,0.001244282882128443,0.6585421982620444,0.09355983191302841,0.4021292286449507,7181.02001953125
