,dataset,model,epoch,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,ogbn-products,"['graphsage', 3, 128]",150,0,0.3930502414703369,0.2944278963680925,0.03398616067294417,0.06463618442930022,0.7854923272472755,5398.099609375
0,ogbn-products,"['gcn', 3, 128]",150,0,0.4220300082502694,0.31456994352669554,0.036985449955381194,0.07047461476819264,0.731173277556142,4980.93603515625
0,ogbn-products,"['gat', 3, 128]",150,0,0.4656850617507408,0.31294348322111987,0.08820924923337739,0.06453232929624356,0.741083398739591,6191.18994140625
