,dataset,model,epoch,datatype,pipeline,fixed synchro,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,ogbn-products,"['graphsage', 3, 128]",150,fp32,False,NA,0,0.5229008343383557,0.33962003329328,0.04260619724069843,0.14067460380437724,NA,6868.0693359375
0,ogbn-products,"['graphsage', 3, 128]",150,fp32,True,NA,0,0.3255037296819323,0.0010695457458496094,0.19005053825960813,0.13438364567647457,NA,7225.85595703125
0,ogbn-products,"['graphsage', 3, 128]",150,int1,False,NA,0,0.2232060942031045,0.06746627356259878,0.023890932097689797,0.13184888854281593,NA,6903.890625
0,ogbn-products,"['graphsage', 3, 128]",150,int1,True,NA,0,0.21483001272186977,0.0001372126222566794,0.07892576246771194,0.13576703763190115,NA,6946.48583984375
0,ogbn-products,"['gcn', 3, 128]",150,fp32,False,NA,0,0.503578384413974,0.33371173334485704,0.044014847005596595,0.1258518040635203,NA,5155.73876953125
0,ogbn-products,"['gcn', 3, 128]",150,fp32,True,NA,0,0.32646413431822796,0.002346353676482921,0.20061771742260184,0.12350006321914317,NA,6652.20947265625
0,ogbn-products,"['gcn', 3, 128]",150,int1,False,NA,0,0.2143156109875395,0.07089414487358268,0.02596903393286785,0.11745243218108899,NA,5761.35693359375
0,ogbn-products,"['gcn', 3, 128]",150,int1,True,NA,0,0.19350679776140753,0.00013590041007704407,0.07188281394143141,0.12148808340989907,NA,6349.9287109375
0,ogbn-products,"['gat', 3, 128]",150,fp32,False,NA,0,0.7078052149474165,0.3842476688268531,0.11934664231220274,0.20421090380836074,NA,6736.11376953125
0,ogbn-products,"['gat', 3, 128]",150,fp32,True,NA,0,0.4101907660942951,0.00029042476916131175,0.20914825956330044,0.20075208176183337,NA,6736.11376953125
0,ogbn-products,"['gat', 3, 128]",150,int1,False,NA,0,0.4210200073154828,0.12161129303560912,0.10310144642837175,0.19630726785150188,NA,6898.56005859375
0,ogbn-products,"['gat', 3, 128]",150,int1,True,NA,0,0.4115233639724382,0.00013974240717997078,0.2107858111840168,0.20059781038124147,NA,7225.89501953125
